ID_ATIV_ECON_ESTABELECIMENTO;DATA_INICIO_ATIVIDADE;IND_POSSUI_ALVARA;ENDERECO;NOME
1480;07/11/1994;SIM;RUA FRANCISCO DESLANDES, 871, ANCHIETA, Belo Horizonte - MG;TENDA DO SHEIK LTDA
1650;01/06/1994;SIM;AVENIDA SANTOS DUMONT, 387, CENTRO, Belo Horizonte - MG;BAR E LANCHONETE BR LTDA
1657;04/10/1994;SIM;AVENIDA DOUTOR CRISTIANO GUIMARAES, 1911, PLANALTO, Belo Horizonte - MG;DIVINA GULA BUFFET E LANCHONETE LTDA
1662;18/04/1994;SIM;RUA GONCALVES DIAS, 818, SAVASSI, Belo Horizonte - MG;TENTACAO LANCHES LTDA
1666;04/01/1993;NÃO;AVENIDA OTACILIO NEGRAO DE LIMA, 11840, GARCAS, Belo Horizonte - MG;JUVENAL FERREIRA DOS SANTOS
1675;25/06/1994;SIM;RUA EDUARDO CARLOS, 5, ARAGUAIA, Belo Horizonte - MG;BAR E RESTAURANTE PANORAMA LTDA
1705;01/06/1994;SIM;AVENIDA OLEGARIO MACIEL, 1600, SANTO AGOSTINHO, Belo Horizonte - MG;CHAPPATUTTI LTDA
1727;15/01/1992;SIM;RUA LUIZ COSME, 326, HAVAI, Belo Horizonte - MG;JOCIL BAR LTDA
1759;30/09/1994;NÃO;RUA MINISTRO BILAC PINTO, 56, PENHA, Belo Horizonte - MG;JOSE MELQUIADIS DE PAULA
1786;01/03/1994;SIM;RUA TURQUESA, 959, PRADO, Belo Horizonte - MG;JOAO MARQUES NETO
2087;01/06/1995;SIM;RUA PERNAMBUCO, 781, SAVASSI, Belo Horizonte - MG;MADY COMERCIO LTDA
2285;01/04/1995;SIM;AVENIDA CONSUL ANTONIO CADAR, 122, SAO BENTO, Belo Horizonte - MG;RODRIGO FIGUEIREDO BURNI
2286;01/02/2003;SIM;AVENIDA CONSUL ANTONIO CADAR, 122, SAO BENTO, Belo Horizonte - MG;RODRIGO FIGUEIREDO BURNI
2239;02/04/1994;SIM;RUA PASSA TEMPO, 62, ANCHIETA, Belo Horizonte - MG;RESTAURANTE CORREA & CORREA LTDA
2261;20/04/1995;SIM;RUA MATIAS CARDOSO, 63, SANTO AGOSTINHO, Belo Horizonte - MG;PLANETA SABOR LTDA
2505;01/04/1995;SIM;RODOVIA BR TREZENTOS E CINQUENTA E SEIS, 2500, SANTA LUCIA, Belo Horizonte - MG;RESTAURANTE HOKKAIDO LTDA
2510;01/09/1994;NÃO;AVENIDA OLEGARIO MACIEL, 1801, LOURDES, Belo Horizonte - MG;FARROUPILHA CHURRASCARIA OLEGARIO LTDA
2356;14/09/1994;NÃO;AVENIDA PRESIDENTE CARLOS LUZ, 3001, CAICARAS, Belo Horizonte - MG;PAM ORGANIZACOES ALIMENTICIAS LTDA
2400;01/10/1992;NÃO;RUA CIPRESTE, 514, PARQUE SAO JOSE, Belo Horizonte - MG;GILBERTO JORGE GONCALVES
2418;08/11/1993;SIM;RUA JACUI, 2227, CONCORDIA, Belo Horizonte - MG;F.M. LANCHONETE & RESTAURANTE LTDA
2465;03/10/1994;SIM;RUA SABINOPOLIS, 172, CARLOS PRATES, Belo Horizonte - MG;QUINTAL DA CARNE LTDA
4918;28/02/1996;SIM;AVENIDA AMAZONAS, 68, CENTRO, Belo Horizonte - MG;ALHO E SAL RESTAURANTE E LANCHONETE SELF-SERVICE LTDA
5016;15/06/1996;NÃO;RUA ALEM PARAIBA, 478, LAGOINHA, Belo Horizonte - MG;KILO QUENTE ALIMENTACOES LTDA
4654;27/10/1995;SIM;RUA POUSO ALEGRE, 1117, FLORESTA, Belo Horizonte - MG;RESTAURANTE TRIANGULO LTDA
4665;01/02/1996;SIM;AVENIDA GUARAPARI, 345, SANTA AMELIA, Belo Horizonte - MG;RESTAURANTE HELENA SELF LTDA
4388;01/01/1997;SIM;AVENIDA DO CONTORNO, 5680, SAVASSI, Belo Horizonte - MG;LANCHES ZAGO LTDA
4395;18/04/1995;SIM;AVENIDA DO CONTORNO, 4869, SERRA, Belo Horizonte - MG;PEREIRA & PEREIRA RESTAURANTE LTDA.
4399;23/11/1995;SIM;RUA PADRE ROLIM, 365, SANTA EFIGENIA, Belo Horizonte - MG;GASTTRO FOODS COMERCIO DE ALIMENTOS LTDA
4404;02/01/1997;NÃO;AVENIDA RAJA GABAGLIA, 4055, SANTA LUCIA, Belo Horizonte - MG;PARRILLA DEL MERCADO LTDA
4409;20/08/1996;NÃO;AVENIDA OLEGARIO MACIEL, 1600, SANTO AGOSTINHO, Belo Horizonte - MG;DRUMMOND CHAVES E RIBEIRO COM DE ALIM. BEBIDAS LTDA
4087;24/05/1996;NÃO;RUA GRAO PARA, 20, SANTA EFIGENIA, Belo Horizonte - MG;PAPINI & PAPINI LTDA
4748;25/11/1993;SIM;RUA RIO DE JANEIRO, 2101, LOURDES, Belo Horizonte - MG;ASSACABRASA LTDA
4769;01/05/1996;NÃO;RUA ARAGUARI, 246, BARRO PRETO, Belo Horizonte - MG;COMERCIAL SANTA ADALGISA LTDA
4135;18/09/1995;SIM;AVENIDA DO CONTORNO, 3575, SANTA EFIGENIA, Belo Horizonte - MG;VILA SASDELLI LTDA
4145;23/09/2009;SIM;RUA RIO DE JANEIRO, 2221, LOURDES, Belo Horizonte - MG;MINAS FLAT ALIMENTOS E BEBIDAS LTDA
4487;01/11/1996;NÃO;AVENIDA OLEGARIO MACIEL, 1600, SANTO AGOSTINHO, Belo Horizonte - MG;RESTAURANTE ITALIA GRILL LTDA
4514;15/03/1996;SIM;RUA DOUTOR JULIO OTAVIANO FERREIRA, 772, CIDADE NOVA, Belo Horizonte - MG;COMERCIAL JL RESTAURANTE LTDA
4192;01/11/1996;SIM;RUA FRANCISCO BICALHO, 1912, CAICARA ADELAIDE, Belo Horizonte - MG;FRIOS ASSIM & FRANGOS ASSADOS LTDA
4529;13/07/1994;SIM;RUA PROGRESSO, 1025, PADRE EUSTAQUIO, Belo Horizonte - MG;SABOREANDO RESTAURANTE LTDA
4530;22/11/2023;SIM;RUA GRAO MOGOL, 99, CARMO, Belo Horizonte - MG;SABOREANDO RESTAURANTE LTDA
4861;02/02/2024;SIM;AVENIDA ASSIS CHATEAUBRIAND, 499, FLORESTA, Belo Horizonte - MG;CURVELLANO PETRUCELLI LANCHES LTDA
4558;02/01/1991;SIM;RUA ALVARENGA PEIXOTO, 1000, SANTO AGOSTINHO, Belo Horizonte - MG;COUVE E FLOR RESTAURANTE LTDA
4565;12/11/1996;NÃO;AVENIDA OLEGARIO MACIEL, 1600, SANTO AGOSTINHO, Belo Horizonte - MG;DINA COMERCIO DE ALIMENTACAO LTDA
3901;01/07/1995;SIM;RUA CLAUDIO MANOEL, 460, SAVASSI, Belo Horizonte - MG;CASA BONOMI LTDA
3378;01/12/1995;SIM;RUA COLOMBIA, 135, SION, Belo Horizonte - MG;RIGA - SERVICOS DE BAR E COMERCIO LTDA
3731;20/04/1996;NÃO;RUA ALAGOAS, 601, SAVASSI, Belo Horizonte - MG;RESTAURANTE SURUBIM NA BRASA LTDA
2696;01/11/1995;SIM;RUA VINTE E UM DE ABRIL, 101, CENTRO, Belo Horizonte - MG;BAR E RESTAURANTE JULIANA COELHO LTDA
3051;01/08/1995;SIM;AVENIDA AMAZONAS, 4676, NOVA SUISSA, Belo Horizonte - MG;BAR E LANCHONETE PRADO LTDA
3389;18/07/1994;SIM;RUA PARA DE MINAS, 1107, MINAS BRASIL, Belo Horizonte - MG;SERTAO MINEIRO RESTAURANTE LTDA
3752;20/08/1996;NÃO;RUA DOS JAVAES, 761, SANTA MONICA, Belo Horizonte - MG;BAR E LANCHONETE BAANA LTDA
3753;01/07/1996;NÃO;RUA EVOCACAO, 630, JARDIM SAO JOSE, Belo Horizonte - MG;BAR ALMEIDA & SILVA LTDA
2722;15/05/1995;SIM;RUA TURQUESA, 580, PRADO, Belo Horizonte - MG;COMERCIAL SANTOS TEOBALDO LTDA
3424;17/07/1995;NÃO;RUA JORDAO, 45, POMPEIA, Belo Horizonte - MG;GILSON BAR LTDA
3760;08/02/1996;NÃO;RUA JOSE VIEIRA MUNIZ, 26, JARDIM GUANABARA, Belo Horizonte - MG;AMARILDO ALVES DA COSTA CPF 58432183687
2780;02/01/1995;SIM;RUA CORONEL PEDRO PAULO PENIDO, 488, CIDADE NOVA, Belo Horizonte - MG;SUPRIR ALIMENTACAO LTDA
3496;01/10/1995;SIM;RUA MARMORE, 588, SANTA TEREZA, Belo Horizonte - MG;SHERIDAN RESTAURANTE LTDA
3497;21/03/2023;SIM;RUA MARMORE, 600, SANTA TEREZA, Belo Horizonte - MG;SHERIDAN RESTAURANTE LTDA
3499;05/06/1996;SIM;AVENIDA PRUDENTE DE MORAIS, 320, CIDADE JARDIM, Belo Horizonte - MG;COMERCIAL OLIVEIRA & CHAGAS LTDA
3800;01/11/1995;SIM;RUA PONTE NOVA, 612, COLEGIO BATISTA, Belo Horizonte - MG;SR CHINESE FOOD LTDA
3817;25/08/1995;NÃO;RUA RUBIM, 107, SION, Belo Horizonte - MG;AGR COMERCIO EVENTOS E PROMOCOES LTDA
3211;15/01/1996;SIM;RUA PIUM I, 653, ANCHIETA, Belo Horizonte - MG;PAULINO VIEIRA COMERCIO LTDA
3541;01/01/1996;SIM;AVENIDA ENGENHEIRO CARLOS GOULART, 1123, BURITIS, Belo Horizonte - MG;CHALE DA MATA RESTAURANTE LTDA
2528;01/08/1995;SIM;RODOVIA BR TREZENTOS E CINQUENTA E SEIS, 3049, BELVEDERE, Belo Horizonte - MG;PANELA DE PEDRA COMIDA MINEIRA LTDA
3244;01/02/1996;NÃO;RUA PIUM I, 611, ANCHIETA, Belo Horizonte - MG;ILIOS COMERCIO LTDA
2560;30/07/1993;NÃO;RUA ALVARES MACIEL, 304, SANTA EFIGENIA, Belo Horizonte - MG;MARIA APARECIDA MENDES DE PAULA
3279;01/09/1995;SIM;AVENIDA DO CONTORNO, 7258, LOURDES, Belo Horizonte - MG;JS CHINESE FOOD LTDA
3290;19/03/2021;SIM;RUA IMBIACA, 350, DOM CABRAL, Belo Horizonte - MG;LEONARDO TEIXEIRA DE SOUZA
3291;02/04/1996;SIM;RUA DEPUTADO CLAUDIO PINHEIRO DE LIMA, 141, GLORIA, Belo Horizonte - MG;NILMA CARDOSO SANTOS
3295;01/07/1995;SIM;RUA FERNANDES TOURINHO, 447, SAVASSI, Belo Horizonte - MG;RESTAURANTE DRAGON SAVASSI LTDA
3672;01/12/1991;NÃO;AVENIDA CRISTIANO MACHADO, 4000, UNIAO, Belo Horizonte - MG;LEDI-COMERCIO E ALIMENTOS LTDA
3687;17/08/1995;SIM;RUA POUSO ALEGRE, 919, FLORESTA, Belo Horizonte - MG;RESTAURANTE ANDRADE SOARES LTDA
3699;01/07/1996;SIM;AVENIDA GUARAPARI, 89, SANTA AMELIA, Belo Horizonte - MG;DUS ANJOS ESPETINHO LTDA
3018;29/07/1995;SIM;RUA PROGRESSO, 181, PADRE EUSTAQUIO, Belo Horizonte - MG;BAR E RESTAURANTE SA & MORAIS LTDA
6983;01/03/1998;SIM;RUA DOS GUARANIS, 295, CENTRO, Belo Horizonte - MG;BAR CIDADE LTDA
6988;30/11/1996;NÃO;AVENIDA PETROLINA, 910, SAGRADA FAMILIA, Belo Horizonte - MG;RESTAURANTE E BAR RECANTO VERDE LTDA
7007;10/12/1998;SIM;RUA GOIAS, 286, BOA VIAGEM, Belo Horizonte - MG;COMERCIAL BRUFER FERREIRA LTDA
7015;16/11/1995;SIM;RUA PIUM I, 1037, ANCHIETA, Belo Horizonte - MG;ALGUIDARES BAR E RESTAURANTE LTDA
6695;18/05/1994;SIM;RUA ARACATI, 106, NOVA SUISSA, Belo Horizonte - MG;RESTAURANTE NHOQUE HOUSE LTDA
7880;06/03/1996;SIM;AVENIDA OLEGARIO MACIEL, 1600, SANTO AGOSTINHO, Belo Horizonte - MG;LIH COMERCIO E ALIMENTOS LTDA
7396;01/06/1996;SIM;PRACA IRAJA, 20, CONCORDIA, Belo Horizonte - MG;RCG COMERCIO E ESPORTES LTDA
6781;17/12/1997;SIM;RUA TOME DE SOUZA, 1331, SAVASSI, Belo Horizonte - MG;AMICI MIEI LTDA
7111;26/04/1996;SIM;AVENIDA DO CONTORNO, 9725, PRADO, Belo Horizonte - MG;SABOR A MI LTDA
7121;01/09/1998;NÃO;RUA RIO GRANDE DO NORTE, 1470, SAVASSI, Belo Horizonte - MG;RIBALTA LTDA
7149;01/11/1998;SIM;RUA PIRITE, 187, SANTA TEREZA, Belo Horizonte - MG;BENE PROMOCOES E EVENTOS LTDA
6831;01/06/1998;SIM;RUA SAO PAULO, 957, CENTRO, Belo Horizonte - MG;CARNES E SALADAS LTDA
6832;01/05/1998;SIM;RUA TEOFILO OTONI, 74, CARLOS PRATES, Belo Horizonte - MG;BAR CANTINHO DO GORDO LTDA
6861;01/11/1997;SIM;RUA FREI LEOPOLDO, 8, SAO LUIZ, Belo Horizonte - MG;LANCHONETE SABOR DE LIMA LTDA
6869;09/02/2024;SIM;RUA ANTONIO DE ALBUQUERQUE, 892, SAVASSI, Belo Horizonte - MG;DISTRIBUIDORA VILLELA COMERCIO, IMPORTACAO, EXPORTACAO E REPRESENTACAO LTDA
7507;15/08/1989;SIM;RUA DOS AIMORES, 2474, SANTO AGOSTINHO, Belo Horizonte - MG;XANADU BAR E RESTAURANTE LTDA
7210;16/08/1996;SIM;RUA SERGIPE, 129, BOA VIAGEM, Belo Horizonte - MG;BAR E RESTAURANTE TONEL DA PINGA LTDA
7221;01/07/1995;SIM;RUA DOS TIMBIRAS, 2967, BARRO PRETO, Belo Horizonte - MG;TELMA APARECIDA MARTINS RIBEIRO
6599;17/08/1995;SIM;AVENIDA FRANCISCO SA, 1114, GUTIERREZ, Belo Horizonte - MG;RUBEM MOREIRA RESENDE
6948;01/04/1998;SIM;AVENIDA PRUDENTE DE MORAIS, 1158, CORACAO DE JESUS, Belo Horizonte - MG;MOMO CONFEITARIA LTDA
5719;01/08/1997;SIM;AVENIDA RAJA GABAGLIA, 1686, GUTIERREZ, Belo Horizonte - MG;BORBA E MENDONCA COMESTIVEIS LTDA
5723;17/04/1997;SIM;AVENIDA BRASIL, 554, SANTA EFIGENIA, Belo Horizonte - MG;ORGANIZACAO AVELAR E RODRIGUES LTDA
6432;30/03/1998;NÃO;RUA ITAPEMA, 265, ANCHIETA, Belo Horizonte - MG;ARLETE ANGELO SANT'ANA
6463;18/06/1997;SIM;AVENIDA PROFESSOR MARIO WERNECK, 1441, BURITIS, Belo Horizonte - MG;SALPICAO RESTAURANTE LTDA
5785;30/01/2024;SIM;RUA CARACA, 402, SERRA, Belo Horizonte - MG;FLAGS RESTAURANTE COMERCIO LTDA
6128;01/04/1995;SIM;RUA GRAO MOGOL, 573, CARMO, Belo Horizonte - MG;JOAO EVANGELISTA CORDEIRO
6474;15/11/1997;NÃO;RUA RIO DE JANEIRO, 1425, LOURDES, Belo Horizonte - MG;ABIB EGG COMERCIAL LTDA
5804;01/11/1997;SIM;RUA ITAMARATI, 977, PADRE EUSTAQUIO, Belo Horizonte - MG;ELIZABETH RIBEIRO COSTA
6516;01/06/1998;SIM;AVENIDA AFONSO PENA, 2185, FUNCIONARIOS, Belo Horizonte - MG;CROUTON LTDA
6525;12/08/1998;SIM;AVENIDA GENERAL CARLOS GUEDES, 557, PLANALTO, Belo Horizonte - MG;RESTAURANTE PIZZARIA TERTULIANA GRILL LTDA
5836;01/04/1997;SIM;RUA HERMILO ALVES, 94, SANTA TEREZA, Belo Horizonte - MG;ODILIA NUNES
6573;10/07/1998;SIM;PRACA ALEXANDRE MOTERANI, 44, SANTA TEREZINHA, Belo Horizonte - MG;BAR & RESTAURANTE URQUIZA SANTIAGO LTDA
5850;13/08/1997;NÃO;AVENIDA ASSIS CHATEAUBRIAND, 524, FLORESTA, Belo Horizonte - MG;ARRUMACAO EMPREENDIMENTOS LTDA
6200;20/03/1997;SIM;RUA DOS TUPIS, 300, CENTRO, Belo Horizonte - MG;FERREIRA & RODRIGUES LANCHES LTDA
6201;14/07/1997;SIM;RUA SALINAS, 1375, SANTA TEREZA, Belo Horizonte - MG;RESTAURANTE FATIMA BAHIA LTDA
6207;24/01/2024;SIM;RUA GRAO PARA, 520, SANTA EFIGENIA, Belo Horizonte - MG;RESTAURANTE NOVO SABOR LTDA
6496;13/08/1998;SIM;RUA MAJOR LOPES, 469, SAO PEDRO, Belo Horizonte - MG;BUFFET E LAZER LTDA
5517;01/02/1995;NÃO;RUA PARAIBA, 1069, SAVASSI, Belo Horizonte - MG;LANCHONETE & RESTAURANTE S&L LTDA
6217;01/07/1997;NÃO;RUA MATO GROSSO, 1100, SANTO AGOSTINHO, Belo Horizonte - MG;SELF-SERVICE CASA NOVA LTDA
6552;01/02/1994;SIM;RUA DOS TUPIS, 317, CENTRO, Belo Horizonte - MG;COMERCIAL ELMANA LTDA
5537;11/04/1997;SIM;RUA PIAUI, 1884, SAVASSI, Belo Horizonte - MG;SOCIEDADE COMERCIAL PIRES LTDA
5898;21/11/1997;NÃO;AVENIDA PRESIDENTE ANTONIO CARLOS, 7660, SAO LUIZ, Belo Horizonte - MG;FSE SERVICOS LTDA
5230;01/02/1996;NÃO;RUA DOS ANDES, 238, CALAFATE, Belo Horizonte - MG;ORGANIZACOES MARTINS CAMPOS LTDA
5591;01/12/1995;NÃO;PRACA HUGO WERNECK, 227, SANTA EFIGENIA, Belo Horizonte - MG;JEITO DE MINAS ALIMENTACAO LTDA
5606;20/09/1997;NÃO;RUA FURTADO DE MENEZES, 198, SANTA ROSA, Belo Horizonte - MG;CALDEIRA VALLE RESTAURANTE LTDA
6351;01/04/1998;NÃO;AVENIDA ABILIO MACHADO, 1044, INCONFIDENCIA, Belo Horizonte - MG;COMERCIAL A.MOREIRA LTDA
5311;23/05/1996;SIM;AVENIDA PRESIDENTE CARLOS LUZ, 3001, CAICARAS, Belo Horizonte - MG;EMAR - EMPRESA MARITIMA DE REFEICOES LTDA.
5657;01/03/1996;NÃO;AVENIDA BARBACENA, 1009, SANTO AGOSTINHO, Belo Horizonte - MG;RESTAURANTE SHANG DONG LTDA
6033;01/10/1995;SIM;AVENIDA ABILIO MACHADO, 1210, INCONFIDENCIA, Belo Horizonte - MG;NEIVA FERREIRA FONSECA BICALHO CARDOSO
6394;22/02/1996;NÃO;RUA AUGUSTO DOS ANJOS, 791, RIO BRANCO, Belo Horizonte - MG;PETISQUEIRA DEL NONNO LTDA
10286;30/09/1994;SIM;PRACA PROFESSOR CORREA NETO, 5, SAO CRISTOVAO, Belo Horizonte - MG;COMERCIAL UNAI LTDA
10320;20/11/1998;SIM;RUA VINTE E CINCO DE AGOSTO, 195, APARECIDA, Belo Horizonte - MG;BAR E RESTAURANTE 24 HORAS LTDA
10015;15/03/2000;NÃO;RUA PARAIBA, 1332, SAVASSI, Belo Horizonte - MG;ASSASAVASSI LTDA
10016;01/04/2000;SIM;AVENIDA BRASIL, 1256, FUNCIONARIOS, Belo Horizonte - MG;PONTO DA PICANHA LTDA
10049;01/07/1997;SIM;AVENIDA RAJA GABAGLIA, 4045, SANTA LUCIA, Belo Horizonte - MG;RESTAURANTE ALMEIDA CAMPOS LTDA
9413;08/08/1997;SIM;AVENIDA DO CONTORNO, 6061, SAO PEDRO, Belo Horizonte - MG;ESPACO GOURMET RESTAURANTE LTDA
10553;02/03/1998;SIM;AVENIDA DO CONTORNO, 8831, GUTIERREZ, Belo Horizonte - MG;ADEGA EVENTOS LTDA
10508;20/10/2000;NÃO;RUA SAO PAULO, 1106, CENTRO, Belo Horizonte - MG;ANDROMEDA BAR E LANCHONETE LTDA
10561;31/07/2000;SIM;AVENIDA AGGEO PIO SOBRINHO, 225, BURITIS, Belo Horizonte - MG;KA CHINESE FOOD LTDA
9531;01/04/1998;SIM;RUA CONSELHEIRO LAFAIETE, 927, SAGRADA FAMILIA, Belo Horizonte - MG;GATE ALIMENTACOES LTDA
10186;25/08/1995;SIM;AVENIDA DO CONTORNO, 9391, PRADO, Belo Horizonte - MG;RESTAURANTE E PIZZARIA BARROCO LTDA
10187;10/05/2023;SIM;AVENIDA DO CONTORNO, 9341, PRADO, Belo Horizonte - MG;RESTAURANTE E PIZZARIA BARROCO LTDA
9892;02/05/2000;SIM;RUA CURRAL DEL REI, 331, PADRE EUSTAQUIO, Belo Horizonte - MG;JOSE ALONSO QUEIROZ
9906;10/10/1996;NÃO;RUA TENENTE BRITO MELO, 1393, SANTO AGOSTINHO, Belo Horizonte - MG;ACELGA RESTAURANTE SELF SERVICE LTDA
9958;30/11/1998;SIM;RUA OLIVIA MARIA DE JESUS, 1757, FLORAMAR, Belo Horizonte - MG;U'HAR RESTAURANTE E PIZZARIA LTDA
8486;12/07/1999;NÃO;RUA DOS GUAJAJARAS, 410, CENTRO, Belo Horizonte - MG;CHR ALIMENTOS LTDA -EPP
8842;30/12/2022;SIM;RUA GURUPA, 33, SANTA CRUZ, Belo Horizonte - MG;ELASA - ELO ALIMENTACAO S-A.
8843;30/12/2022;SIM;AVENIDA BERNARDO DE VASCONCELOS, 377, CACHOEIRINHA, Belo Horizonte - MG;ELASA - ELO ALIMENTACAO S-A.
8178;22/12/1998;SIM;RUA COELHO DE SOUZA, 181, SANTO AGOSTINHO, Belo Horizonte - MG;M & S COMERCIO DE ALIMENTOS LTDA
8198;24/11/1998;SIM;RUA OUTONO, 487, CRUZEIRO, Belo Horizonte - MG;SABOR & SABOR SELF SERVICE LTDA
8620;01/08/1997;SIM;RUA CURITIBA, 1231, CENTRO, Belo Horizonte - MG;BAR E LANCHES SEM CENSURA LTDA
8964;01/04/1998;SIM;AVENIDA DO CONTORNO, 3575, SANTA EFIGENIA, Belo Horizonte - MG;BAR E LANCHONETE ALGO A MAIS LTDA
7948;10/05/1999;NÃO;AVENIDA PRUDENTE DE MORAIS, 743, SANTO ANTONIO, Belo Horizonte - MG;CR BAR E RESTAURANTE LTDA
7952;01/03/1999;SIM;RUA DOS LAGOS, 295, CONJUNTO CELSO MACHADO, Belo Horizonte - MG;ORGANIZACOES MADUREIRA LTDA
8658;01/12/1996;NÃO;RUA ALAGOAS, 601, SAVASSI, Belo Horizonte - MG;INDUSTRIA DO CHOPP LTDA
8666;01/07/1997;SIM;RUA DOUTOR ALVARO CAMARGOS, 1679, SANTA BRANCA, Belo Horizonte - MG;AFONSO PEREIRA LEAO
9015;01/07/1999;NÃO;RUA DOS TUPIS, 767, CENTRO, Belo Horizonte - MG;BAR E RESTAURANTE DOURADO LTDA
8369;03/08/1999;SIM;RUA GRAO MOGOL, 1045, SION, Belo Horizonte - MG;EMPREENDIMENTO NUTRICIONAL LTDA
8378;08/06/1999;SIM;RUA GRAO PARA, 12, SANTA EFIGENIA, Belo Horizonte - MG;TOCA DO CHICO LTDA
9080;10/08/1999;NÃO;AVENIDA FRANCISCO SA, 663, PRADO, Belo Horizonte - MG;JKR ALIMENTACAO LTDA
9096;15/03/2000;SIM;RUA ALMIRANTE ALEXANDRINO, 201, GUTIERREZ, Belo Horizonte - MG;POMODORI PRODUTOS ALIMENTICIOS LTDA
12009;30/09/1998;SIM;RUA DA BAHIA, 2244, LOURDES, Belo Horizonte - MG;POMAR COMERCIO DE ALIMENTOS LTDA
13160;16/03/2001;NÃO;RODOVIA BR TREZENTOS E CINQUENTA E SEIS, 2500, SANTA LUCIA, Belo Horizonte - MG;TRADICAO GRILL E BEER LTDA
13161;30/08/2022;SIM;RODOVIA PAPA JOAO PAULO II, 4143, SERRA VERDE, Belo Horizonte - MG;TRADICAO GRILL E BEER LTDA
13079;23/01/2002;SIM;AVENIDA VILARINHO, 1740, MINASCAIXA, Belo Horizonte - MG;VENDA NOVA TUDO NO ESPETO LTDA
12954;20/08/2000;NÃO;AVENIDA DO CONTORNO, 3968, SANTA EFIGENIA, Belo Horizonte - MG;CAFE VIENA LTDA
12826;20/02/2002;SIM;RUA GUAICUI, 596, LUXEMBURGO, Belo Horizonte - MG;LCM PROMOCOES E EVENTOS LTDA
12857;25/02/2002;NÃO;RUA MONTESE, 1080, SANTA BRANCA, Belo Horizonte - MG;ULISSES NERES G. DE MELO - BAR E LANCHONETE
